   
to 10.0.0.4, 5001 
size: 298  
   
local 10.0.0.1 connected with
Interval Transfer  
0.0- 1.0 MBytes 2.96
1.0- 2.0 MBytes 3.14
2.0- 3.0 MBytes 3.77
3.0- 4.0 MBytes 3.61
4.0- 5.0 MBytes 1.26
5.0- 6.0 MBytes 1.10
6.0- 7.0 MBytes 1.92
7.0- 8.0 MBytes 990
8.0- 9.0 MBytes 2.41
9.0-10.0 sec 3.11 Gbits/sec
10.0-11.0 sec 956 Mbits/sec
11.0-12.0 sec 3.25 Gbits/sec
12.0-13.0 sec 3.68 Gbits/sec
13.0-14.0 sec 3.55 Gbits/sec
14.0-15.0 sec 2.90 Gbits/sec
15.0-16.0 sec 2.08 Gbits/sec
16.0-17.0 sec 1.23 Gbits/sec
17.0-18.0 sec 768 Mbits/sec
18.0-19.0 sec 2.64 Gbits/sec
19.0-20.0 sec 1.82 Gbits/sec
20.0-21.0 sec 2.66 Gbits/sec
21.0-22.0 sec 3.13 Gbits/sec
22.0-23.0 sec 3.43 Gbits/sec
23.0-24.0 sec 3.70 Gbits/sec
24.0-25.0 sec 3.53 Gbits/sec
25.0-26.0 sec 3.06 Gbits/sec
26.0-27.0 sec 2.85 Gbits/sec
27.0-28.0 sec 3.78 Gbits/sec
28.0-29.0 sec 3.43 Gbits/sec
29.0-30.0 sec 3.70 Gbits/sec
30.0-31.0 sec 3.89 Gbits/sec
31.0-32.0 sec 3.50 Gbits/sec
32.0-33.0 sec 2.46 Gbits/sec
33.0-34.0 sec 3.95 Gbits/sec
34.0-35.0 sec 2.26 Gbits/sec
35.0-36.0 sec 2.23 Gbits/sec
36.0-37.0 sec 3.80 Gbits/sec
37.0-38.0 sec 3.89 Gbits/sec
38.0-39.0 sec 3.84 Gbits/sec
39.0-40.0 sec 3.89 Gbits/sec
40.0-41.0 sec 3.88 Gbits/sec
41.0-42.0 sec 3.92 Gbits/sec
42.0-43.0 sec 1.49 Gbits/sec
43.0-44.0 sec 3.92 Gbits/sec
44.0-45.0 sec 3.93 Gbits/sec
45.0-46.0 sec 2.84 Gbits/sec
46.0-47.0 sec 2.94 Gbits/sec
47.0-48.0 sec 3.92 Gbits/sec
48.0-49.0 sec 1.44 Gbits/sec
49.0-50.0 sec 2.14 Gbits/sec
50.0-51.0 sec 3.07 Gbits/sec
51.0-52.0 sec 793 Mbits/sec
52.0-53.0 sec 4.01 Gbits/sec
53.0-54.0 sec 1.48 Gbits/sec
54.0-55.0 sec 3.72 Gbits/sec
55.0-56.0 sec 1.62 Gbits/sec
56.0-57.0 sec 667 Mbits/sec
57.0-58.0 sec 722 Mbits/sec
58.0-59.0 sec 2.61 Gbits/sec
59.0-60.0 sec 3.06 Gbits/sec
60.0-61.0 sec 3.51 Gbits/sec
61.0-62.0 sec 3.72 Gbits/sec
62.0-63.0 sec 628 Mbits/sec
63.0-64.0 sec 1.04 Gbits/sec
64.0-65.0 sec 3.45 Gbits/sec
65.0-66.0 sec 3.46 Gbits/sec
66.0-67.0 sec 3.90 Gbits/sec
67.0-68.0 sec 3.20 Gbits/sec
68.0-69.0 sec 2.86 Gbits/sec
69.0-70.0 sec 3.82 Gbits/sec
70.0-71.0 sec 3.63 Gbits/sec
71.0-72.0 sec 3.81 Gbits/sec
72.0-73.0 sec 3.62 Gbits/sec
73.0-74.0 sec 3.84 Gbits/sec
74.0-75.0 sec 3.87 Gbits/sec
75.0-76.0 sec 976 Mbits/sec
76.0-77.0 sec 757 Mbits/sec
77.0-78.0 sec 3.32 Gbits/sec
78.0-79.0 sec 3.16 Gbits/sec
79.0-80.0 sec 3.67 Gbits/sec
80.0-81.0 sec 3.91 Gbits/sec
81.0-82.0 sec 3.78 Gbits/sec
82.0-83.0 sec 3.90 Gbits/sec
83.0-84.0 sec 3.88 Gbits/sec
84.0-85.0 sec 3.86 Gbits/sec
85.0-86.0 sec 3.55 Gbits/sec
86.0-87.0 sec 3.54 Gbits/sec
87.0-88.0 sec 3.66 Gbits/sec
88.0-89.0 sec 3.91 Gbits/sec
89.0-90.0 sec 3.87 Gbits/sec
90.0-91.0 sec 3.44 Gbits/sec
91.0-92.0 sec 784 Mbits/sec
92.0-93.0 sec 3.85 Gbits/sec
93.0-94.0 sec 3.79 Gbits/sec
94.0-95.0 sec 3.71 Gbits/sec
95.0-96.0 sec 2.77 Gbits/sec
96.0-97.0 sec 446 Mbits/sec
97.0-98.0 sec 891 Mbits/sec
98.0-99.0 sec 1.51 Gbits/sec
99.0-100.0 sec 675 Mbits/sec
0.0-100.0 sec 2.86 Gbits/sec
